עכו,עכו,אפק,עין כרמל,חיפה אונ,חדרה,,
בית דגן,בית דגן,תל מונד,יבנה,אשדוד,,,
חפץ חיים,חפץ חיים,צובה,דורות,נגבה,,,
"נתיב הל""ה","נתיב הל""ה",,,,,,
גילת,גילת,משאש,באר שבע,,,,
חוות הבשור,חוות הבשור,,,,,,
רמת נגב,רמת נגב,ערד,שדה בוקר,מצפה רמון,שני,,
אילון,אילון,אשחר,הר כנען,דיר חנא,,,
ח. מתתיהו,חוות מתתיהו,,,,,,
כפר בלום,כפר בלום,חוות פיכמן,,,,,
נוה יער,נוה יער,ניר-העמק,עין השופט,,,,
תבור,תבור-כדורי,תל יוסף,,,,,
צמח,צמח,יבנאל,בטיחה,,,,
חוות עדן,חוות עדן,גלגל,מעלה גלבוע,בית הערבה,,,
ראש צורים,ראש צורים,ירושלים,קרני שומרון,אריאל,איתמר,הר חרשה,מעלה אדומים
אבני איתן,אבני איתן,,,,,,
יטבתה,יטבתה,נאות סמדר,,,,,
סדום,סדום,מצוקי דרגות,,,,,
חצבה,חצבה,,,,,,
פארן,פארן,,,,,,
