month,start_day,end_day,"אפרסק 1/5","אפרסק 10/5","אפרסק 20/5","אפרסק 1/6","אפרסק 10/6","אפרסק 20/6","אפרסק 1/7","אפרסק 10/7","אפרסק 20/7","אפרסק 1/8","אפרסק 10/8","אפרסק 20/8","אפרסק 1/9","אפרסק 10/9","אפרסק 20/9"
1,1,10,,,,,,,,,,,,,,,
1,11,20,,,,,,,,,,,,,,,
1,21,31,,,,,,,,,,,,,,,
2,1,10,,,,,,,,,,,,,,,
2,11,20,,,,,,,,,,,,,,,
2,21,31,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,
3,11,20,,,,,,,,,,,,,,,
3,21,31,,,,,,,,,,,,,,,
4,1,8,0.65,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,9,15,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,16,23,0.9,0.7,0.55,0.375,0.375,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
4,24,31,0.9,0.9,0.9,0.55,0.55,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
5,1,8,0.9,0.9,0.9,0.9,0.65,0.5,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4
5,9,15,0.3,0.9,0.9,0.9,0.9,0.6,0.65,0.65,0.45,0.45,0.4,0.4,0.4,0.4,0.4
5,16,23,0.3,0.6,0.9,0.9,0.9,0.75,0.65,0.65,0.45,0.45,0.425,0.4,0.4,0.4,0.4
5,24,31,0.3,0.3,0.9,0.9,0.9,0.9,0.65,0.65,0.45,0.45,0.45,0.4,0.4,0.4,0.4
6,1,8,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.75,0.7,0.65,0.45,0.45,0.4,0.4,0.4
6,9,15,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.75,0.75,0.7,0.45,0.45,0.45,0.45
6,16,23,0.3,0.3,0.3,0.3,0.6,0.9,0.9,0.9,0.825,0.8,0.7,0.55,0.45,0.45,0.45
6,24,31,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.85,0.7,0.65,0.45,0.45,0.45
7,1,8,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.85,0.7,0.65,0.45,0.45
7,9,15,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.9,0.8,0.75,0.45
7,16,23,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.85,0.775,0.6
7,24,31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.9,0.8,0.75
8,1,8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.9,0.8
8,9,15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.9,0.9,0.9,0.9,0.95
8,16,23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.575,0.9,0.9,0.9,0.95
8,24,31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.9,0.9,0.9,0.95
9,1,8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.9,0.9,0.95
9,9,15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.9,0.95
9,16,23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.225,0.575,0.95
9,24,31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.95
10,1,8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25
10,9,15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
10,16,23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
10,24,31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
11,1,8,,,,,,,,,,,,,,,
11,9,15,,,,,,,,,,,,,,,
11,16,23,,,,,,,,,,,,,,,
11,24,31,,,,,,,,,,,,,,,
12,1,8,,,,,,,,,,,,,,,
12,9,15,,,,,,,,,,,,,,,
12,16,23,,,,,,,,,,,,,,,
12,24,31,,,,,,,,,,,,,,,
