month,start_day,end_day,"אגס 20/7"
1,1,10,
1,11,20,
1,21,31,
2,1,10,
2,11,20,
2,21,31,
3,1,10,
3,11,20,
3,21,31,
4,1,8,0.15
4,9,15,0.2
4,16,23,0.25
4,24,31,0.3
5,1,8,0.3
5,9,15,0.38333333333333
5,16,23,0.46666666666667
5,24,31,0.55
6,1,8,0.7
6,9,15,0.73333333333333
6,16,23,0.76666666666667
6,24,31,0.8
7,1,8,0.8
7,9,15,0.81666666666667
7,16,23,0.83333333333333
7,24,31,0.85
8,1,8,0.4
8,9,15,0.38333333333333
8,16,23,0.36666666666667
8,24,31,0.35
9,1,8,0.35
9,9,15,0.35
9,16,23,0.35
9,24,31,0.35
10,1,8,0.3
10,9,15,0.28333333333333
10,16,23,0.26666666666667
10,24,31,0.25
11,1,8,
11,9,15,
11,16,23,
11,24,31,
12,1,8,
12,9,15,
12,16,23,
12,24,31,
