month,start_day,end_day,"עגבניות חממה-ערבה","עגבניות שתילה 20.8","עגבניות שתילה 1.9","עגבניות 15.9","עגבניות 1.10","אמצע 15.10","עגבניות שתילה בקרקע חולית 20.8","עגבניות שתילה בקרקע חולית 1.9","עגבניות שתילה בקרקע חולית 15.9"
7,1,8,,,,,,,,,
7,9,15,,,,,,,,,
7,16,23,,,,,,,,,
7,24,31,,,,,,,,,
8,1,8,,,,,,,,,
8,9,15,,,,,,,,,
8,16,23,,0.2,,,,,0.5,,
8,24,31,,0.2,,,,,0.5,,
9,1,8,,0.3,0.2,,,,0.4,0.5,
9,9,15,,0.3,0.2,,,,0.4,0.5,
9,16,23,0.5,0.4,0.3,0.2,,,0.5,0.4,0.5
9,24,31,0.5,0.4,0.3,0.2,,,0.5,0.4,0.5
10,1,8,0.5,0.5,0.4,0.3,0.2,,0.5,0.5,0.4
10,9,15,0.5,0.55,0.4,0.3,0.2,,0.55,0.5,0.4
10,16,23,0.6,0.6,0.5,0.4,0.3,0.2,0.6,0.5,0.5
10,24,31,0.75,0.7,0.5,0.4,0.4,0.2,0.7,0.5,0.5
11,1,8,0.75,0.8,0.55,0.4,0.5,0.3,0.8,0.55,0.5
11,9,15,0.75,0.8,0.6,0.4,0.55,0.4,0.8,0.6,0.5
11,16,23,0.75,0.8,0.7,0.5,0.55,0.5,0.8,0.7,0.5
11,24,31,0.75,0.8,0.8,0.5,0.6,0.5,0.8,0.8,0.5
12,1,8,0.9,0.8,0.8,0.7,0.6,0.55,0.8,0.8,0.7
12,9,15,0.9,0.8,0.8,0.7,0.7,0.55,0.8,0.8,0.7
12,16,23,0.9,0.8,1,0.8,0.7,0.55,0.8,1,0.8
12,24,31,0.9,0.8,1,0.9,0.8,0.6,0.8,1,0.9
1,1,8,1,1.1,1,0.9,0.8,0.6,1.1,1,0.9
1,9,15,1,1.1,1.1,1,0.9,0.7,1.1,1.1,1
1,16,23,1,1.1,1.1,1,0.9,0.7,1.1,1.1,1
1,24,31,1,1.1,1.1,1,0.9,0.8,1.1,1.1,1
2,1,8,1,1,1.1,1.1,1,0.8,1,1.1,1.1
2,9,15,1,1,1,1.1,1,0.9,1,1,1.1
2,16,23,1,1,1,1.1,1,0.9,1,1,1.1
2,24,31,1,1,1,1.1,1.1,0.9,1,1,1.1
3,1,8,1,0.8,0.9,1,1.1,1,0.8,0.9,1
3,9,15,1,0.8,0.8,0.9,1.1,1,0.8,0.8,0.9
3,16,23,0.9,0.8,0.8,0.9,1.1,1,0.8,0.8,0.9
3,24,31,0.9,0.8,0.8,0.9,1,1.1,0.8,0.8,0.9
4,1,8,0.75,0.75,0.8,0.9,0.9,1.1,0.75,0.8,0.9
4,9,15,0.75,0.8,0.8,0.9,0.9,1.1,0.8,0.8,0.9
4,16,23,0.75,0.8,0.8,0.8,0.9,1.1,0.8,0.8,0.8
4,24,31,0.6,0.75,0.8,0.8,0.9,1,0.75,0.8,0.8
5,1,8,0.6,0.75,0.75,0.8,0.8,0.9,0.75,0.75,0.8
5,9,15,0.6,0.7,0.75,0.75,0.8,0.9,0.7,0.75,0.75
5,16,23,,0.7,0.7,0.75,0.75,0.8,0.7,0.7,0.75
5,24,31,,0.6,0.7,0.7,0.75,0.75,0.6,0.7,0.7
6,1,8,,0.5,0.6,0.7,0.7,0.75,0.5,0.6,0.7
6,9,15,,0.5,0.5,0.6,0.7,0.7,0.5,0.5,0.6
6,16,23,,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.5
6,24,31,,,0.5,0.5,0.5,0.6,,0.5,0.5
7,1,8,,,,0.5,0.5,0.5,,,0.5
7,9,15,,,,,0.5,0.5,,,
7,16,23,,,,,,0.5,,,
7,24,31,,,,,,,,,
