month,start_day,end_day,"אבוקדו גליל מערבי/חוף כרמל/עמקים","אבוקדו גליל עליון/עמק הירדן","אבוקדו עמק חפר יבול מעל 1.5 טון/ד'","אבוקדו עמק חפר יבול עד 1.5 טון/ד'","אבוקדו זן ריד (70%)"
1,1,8,,,,,
1,9,15,,,,,
1,16,23,,,,,
1,24,31,,,,,
2,1,8,,,,,
2,9,15,,,,,
2,16,23,,,,,
2,24,31,,,,,
3,1,8,,,,,
3,9,15,,,,,
3,16,23,,,,,
3,24,31,,,,,
4,1,8,0.35,0.35,0.35,0.35,0.245
4,9,15,0.3665,0.35,0.35,0.35,0.25655
4,16,23,0.383,0.35,0.35,0.35,0.2681
4,24,31,0.4,0.35,0.35,0.35,0.28
5,1,8,0.45,0.5,0.5,0.5,0.315
5,9,15,0.4665,0.5,0.5,0.5,0.32655
5,16,23,0.483,0.5,0.5,0.5,0.3381
5,24,31,0.5,0.5,0.5,0.5,0.35
6,1,8,0.55,0.6,0.6,0.6,0.385
6,9,15,0.5665,0.6,0.6,0.6,0.39655
6,16,23,0.583,0.6,0.6,0.6,0.4081
6,24,31,0.6,0.6,0.6,0.6,0.42
7,1,8,0.65,0.7,0.75,0.7,0.455
7,9,15,0.65,0.7,0.75,0.7,0.455
7,16,23,0.65,0.7,0.75,0.7,0.455
7,24,31,0.65,0.7,0.75,0.7,0.455
8,1,8,0.65,0.8,0.85,0.8,0.455
8,9,15,0.65,0.8,0.85,0.8,0.455
8,16,23,0.65,0.8,0.85,0.8,0.455
8,24,31,0.65,0.8,0.85,0.8,0.455
9,1,8,0.65,0.8,0.85,0.8,0.455
9,9,15,0.65,0.8,0.85,0.8,0.455
9,16,23,0.65,0.8,0.85,0.8,0.455
9,24,31,0.65,0.8,0.85,0.8,0.455
10,1,8,0.65,0.8,0.85,0.8,0.455
10,9,15,0.65,0.8,0.85,0.8,0.455
10,16,23,0.65,0.8,0.85,0.8,0.455
10,24,31,0.65,0.8,0.85,0.8,0.455
11,1,8,0.65,0.6,0.85,0.8,0.455
11,9,15,0.65,0.6,0.85,0.8,0.455
11,16,23,0.65,0.6,0.85,0.8,0.455
11,24,31,0.65,0.6,0.85,0.8,0.455
12,1,8,,,,,
12,9,15,,,,,
12,16,23,,,,,
12,24,31,,,,,
