month,start_day,end_day,"בננות גליל מערבי/חוף כרמל פתוח","בננות גליל מערבי/חוף כרמל  בית רשת","בננות גליל מערבי/חוף כרמל שנה ראשונה"
1,1,10,,,
1,11,20,,,
1,21,31,,,
2,1,10,,,
2,11,20,,,
2,21,31,,,
3,1,10,,,
3,11,20,,,
3,21,31,0.4,0.67,
4,1,10,0.4,0.6,
4,11,20,0.4,0.67796610169492,0.17
4,21,31,0.42372881355932,0.7258064516129,0.16949152542373
5,1,10,0.48387096774194,0.81967213114754,0.20161290322581
5,11,20,0.57377049180328,0.859375,0.24590163934426
5,21,31,0.625,0.83333333333333,0.3125
6,1,10,0.68181818181818,0.8955223880597,0.34090909090909
6,11,20,0.74626865671642,0.92857142857143,0.37313432835821
6,21,31,0.78571428571429,0.94202898550725,0.4
7,1,10,0.8695652173913,0.94202898550725,0.46376811594203
7,11,20,0.94202898550725,1.01449275362319,0.50724637681159
7,21,31,1.01449275362319,0.94202898550725,0.57971014492754
8,1,10,1.01449275362319,0.95588235294118,0.65217391304348
8,11,20,1.02941176470588,0.90909090909091,0.73529411764706
8,21,31,1.06060606060606,0.83333333333333,0.83333333333333
9,1,10,0.98484848484848,0.79166666666667,0.90909090909091
9,11,20,1.04166666666667,0.77586206896552,1.08333333333333
9,21,31,1.03448275862069,0.80357142857143,1.03448275862069
10,1,10,0.98214285714286,0.83333333333333,0.98214285714286
10,11,20,0.9375,0.73170731707317,1.04166666666667
10,21,31,0.85365853658537,,1.09756097560976
11,1,10,0.85365853658537,,
11,11,20,,,
11,21,31,,,
12,1,10,,,
12,11,20,,,
12,21,31,,,
