month,start_day,end_day,"בננות עמק הירדן שטח פתוח","בננות עמק הירדן בית רשת","נטיעת אביב בשטח פתוח עמק הירדן","נטיעת קיץ שטח פתוח עמק הירדן","נטיעת אביב בבית רשת עמק הירדן","נטיעת אביב בית רשת עמק הירדן"
1,1,10,,,,,,
1,11,20,,,,,,
1,21,31,,,,,,
2,1,10,,,,,,
2,11,20,,,,,,
2,21,31,,,,,,
3,1,10,0.14285714285714,0.1,0,0,0,0
3,11,20,0.28205128205128,0.1974358974359,0,0,0,0
3,21,31,0.26829268292683,0.18780487804878,0,0,0,0
4,1,10,0.43478260869565,0.30434782608696,0,0,0,0
4,11,20,0.53448275862069,0.37413793103448,0,0,0,0
4,21,31,0.61538461538462,0.43076923076923,0,0,0,0
5,1,10,0.67123287671233,0.46986301369863,0.4027397260274,0,0.28191780821918,0
5,11,20,0.77333333333333,0.54133333333333,0.464,0,0.3248,0
5,21,31,0.82558139534884,0.57790697674419,0.53662790697674,0,0.37563953488372,0
6,1,10,0.97802197802198,0.68461538461538,0.78241758241758,0,0.54769230769231,0
6,11,20,1.1505376344086,0.80537634408602,0.92043010752688,0,0.64430107526882,0
6,21,31,1.34408602150538,0.94086021505376,0.94086021505376,0,0.65860215053763,0
7,1,10,1.3030303030303,0.91212121212121,0.91212121212121,0,0.63848484848485,0
7,11,20,1.38144329896907,0.96701030927835,1.10515463917526,0,0.77360824742268,0
7,21,31,1.50526315789474,1.05368421052632,1.35473684210526,0,0.94831578947368,0
8,1,10,1.61538461538462,1.13076923076923,1.45384615384615,0.96923076923077,1.01769230769231,0.67846153846154
8,11,20,1.67045454545455,1.16931818181818,1.50340909090909,1.00227272727273,1.05238636363636,0.70159090909091
8,21,31,1.5952380952381,1.11666666666667,1.5952380952381,1.03690476190476,1.11666666666667,0.72583333333333
9,1,10,1.4320987654321,1.00246913580247,1.4320987654321,1.00246913580247,1.00246913580247,0.70172839506173
9,11,20,1.34246575342466,0.93972602739726,1.34246575342466,0.93972602739726,0.93972602739726,0.65780821917808
9,21,31,1.21212121212121,0.84848484848485,1.21212121212121,0.84848484848485,0.84848484848485,0.59393939393939
10,1,10,1.12698412698413,0.78888888888889,1.12698412698413,0.9015873015873,0.78888888888889,0.63111111111111
10,11,20,1.10714285714286,0.775,1.10714285714286,0.88571428571429,0.775,0.62
10,21,31,1.325,0.9275,1.325,1.1925,0.9275,0.83475
11,1,10,1.15384615384615,0.80769230769231,1.15384615384615,1.15384615384615,0.80769230769231,0.80769230769231
11,11,20,0.92307692307692,0.64615384615385,0.92307692307692,1.01538461538462,0.64615384615385,0.71076923076923
11,21,31,0.96666666666667,0.67666666666667,0.96666666666667,1.06333333333333,0.67666666666667,0.74433333333333
12,1,10,0.52173913043478,0.36521739130435,0.52173913043478,0.62608695652174,0.36521739130435,0.43826086956522
12,11,20,0.55,0.385,0.55,0.715,0.385,0.5005
12,21,31,0.45,0.315,0.45,0.585,0.315,0.4095
