month,start_day,end_day,"בקעה בציר ב- 20/5 ","בקעה בציר ב- 1.6"," בקעה בציר ב- 10.6","ערבה פרלט בציר 15.5"," בציר יוני 1.6","בציר 10.6","בציר 20.6","בציר 1.7","בציר 10.7","בציר 20.7","בציר 1.8","בציר 10.8","בציר 20.8","בציר 1.9","בציר 10.9","בציר 20.9","בציר 1.10"
1,1,8,,,,0.25,,,,,,,,,,,,,
1,9,15,,,,0.25,,,,,,,,,,,,,
1,16,23,,,,0.25,,,,,,,,,,,,,
1,24,31,,,,0.25,,,,,,,,,,,,,
2,1,8,0.3,0.3,0.3,0.3,,,,,,,,,,,,,
2,9,15,0.3,0.3,0.3,0.4,,,,,,,,,,,,,
2,16,23,0.3,0.3,0.3,0.42,,,,,,,,,,,,,
2,24,31,0.4,0.3,0.3,0.45,,,,,,,,,,,,,
3,1,8,0.4,0.4,0.4,0.5,,,,,,,,,,,,,
3,9,15,0.5,0.4,0.4,0.7,,,,,,,,,,,,,
3,16,23,0.55,0.45,0.45,0.75,,,,,,,,,,,,,
3,24,31,0.6,0.5,0.5,0.8,,,,,,,,,,,,,
4,1,8,0.7,0.6,0.6,0.8,0.195,0.195,0.195,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,9,15,0.75,0.7,0.65,0.85,0.22826086956522,0.22826086956522,0.22826086956522,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,16,23,0.78,0.7525,0.675,0.875,0.23663043478261,0.23663043478261,0.23663043478261,0.275,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,24,31,0.8,0.75,0.7,0.9,0.245,0.245,0.245,0.3,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
5,1,8,0.85,0.8,0.75,0.9,0.30259259259259,0.30259259259259,0.30259259259259,0.35,0.3,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
5,9,15,0.9,0.85,0.8,0.9,0.53389830508475,0.53389830508475,0.53389830508475,0.4,0.35,0.3,0.25,0.25,0.2,0.2,0.2,0.2,0.2
5,16,23,0.825,0.875,0.825,0.85,0.58047374270631,0.58047374270631,0.58047374270631,0.45,0.375,0.325,0.275,0.25,0.225,0.225,0.2,0.2,0.2
