month,start_day,end_day,"מילונים סתיו - ערבה","מילון חורפי - ערבה","אבטיח חורפי - ערבה"
6,1,8,,,
6,9,15,,,
6,16,23,,,
6,24,31,,,
7,1,8,,,
7,9,15,,,
7,16,23,,,
7,24,31,,,
8,1,8,,,
8,9,15,0.2,,
8,16,23,0.3,,
8,24,31,0.4,,
9,1,8,0.5,,
9,9,15,0.6,,
9,16,23,0.8,,
9,24,31,0.9,,
10,1,8,0.9,,
10,9,15,0.8,,
10,16,23,0.7,,
10,24,31,0.5,,
11,1,8,,,
11,9,15,,,
11,16,23,,,
11,24,31,,0.15,0.15
12,1,8,,0.15,0.15
12,9,15,,0.25,0.2
12,16,23,,0.25,0.25
12,24,31,,0.4,0.5
1,1,8,,0.5,0.8
1,9,15,,0.6,0.9
1,16,23,,0.65,1
1,24,31,,0.65,1
2,1,8,,0.7,1
2,9,15,,0.75,1
2,16,23,,0.8,1
2,24,31,,0.9,1
3,1,8,,0.9,1
3,9,15,,0.9,1
3,16,23,,0.8,0.9
3,24,31,,0.8,
4,1,8,,,
4,9,15,,,
4,16,23,,,
4,24,31,,,
5,1,8,,,
5,9,15,,,
5,16,23,,,
5,24,31,,,
6,1,8,,,
6,9,15,,,
6,16,23,,,
6,24,31,,,
7,1,8,,,
7,9,15,,,
7,16,23,,,
7,24,31,,,
