month,start_day,end_day,"דבדבן 20/5","דבדבן 1/6","דבדבן 10/6","דבדבן 20/6"
1,1,10,,,,
1,11,20,,,,
1,21,31,,,,
2,1,10,,,,
2,11,20,,,,
2,21,31,,,,
3,1,10,,,,
3,11,20,,,,
3,21,31,,,,
4,1,8,0.2,0.2,0.2,0.2
4,9,15,0.2,0.2,0.2,0.2
4,16,23,0.525,0.45,0.375,0.375
4,24,31,0.75,0.6,0.6,0.3
5,1,8,0.85,0.7,0.55,0.55
5,9,15,0.85,0.8,0.65,0.5
5,16,23,0.675,0.825,0.725,0.65
5,24,31,0.85,0.8,0.8,0.6
6,1,8,0.5,0.85,0.8,0.8
6,9,15,0.5,0.5,0.85,0.8
6,16,23,0.475,0.4875,0.65,0.625
6,24,31,0.5,0.5,0.5,0.85
7,1,8,0.45,0.475,0.45,0.45
7,9,15,0.45,0.45,0.45,0.45
7,16,23,0.425,0.425,0.425,0.425
7,24,31,0.45,0.45,0.45,0.45
8,1,8,0.4,0.4,0.4,0.4
8,9,15,0.4,0.4,0.4,0.4
8,16,23,0.35,0.35,0.375,0.375
8,24,31,0.4,0.4,0.4,0.4
9,1,8,0.3,0.3,0.35,0.35
9,9,15,0.25,0.25,0.25,0.25
9,16,23,0.225,0.225,0.225,0.225
9,24,31,0.2,0.2,0.2,0.2
10,1,8,0.2,0.2,0.2,0.2
10,9,15,0,0,0,0
10,16,23,0,0,0,0
10,24,31,0,0,0,0
11,1,8,,,,
11,9,15,,,,
11,16,23,,,,
11,24,31,,,,
12,1,8,,,,
12,9,15,,,,
12,16,23,,,,
12,24,31,,,,
