month,start_day,end_day,קבוצה א' - פרי גדול יבול גבוה מהממוצע,קבוצה ב' - יבול נמוך\חשש לפרי גדול,קבוצה ג' - אשכולית אפילה מתחת ל 6 טון/דונם\טופז מתחת ל 4 טון/דונם,קבוצה ד' - החל מחודש יולי השקיה לפי טבלאות גודל פרי,אור ,אשכולית בכירה סן רייז\לס נגב,אשכולית\שמוטי\פומלית\פומלו\מיניאולה-לס נגב,ולנסיה\לימון\טופז\מורקוט\אשכולית מאוחרת-לס נגב,אשכולית בכירה סן רייז - חול נגב,אשכולית\שמוטי\פומלית\פומלו\מיניאולה-חול נגב,ולנסיה\לימון\טופז\מורקוט\אשכולית מאוחרת-חול נגב,קליפים מוקדמים,תפוזים ואשכולית מוקדמת,לימון מוקדם,,,
1,1,10,,,,,,,,,,,,,,,,,
1,11,20,,,,,,,,,,,,,,,,,
1,21,31,,,,,,,,,,,,,,,,,
2,1,10,,,,,,,,,,,,,,,,,
2,11,20,,,,,,,,,,,,,,,,,
2,21,31,,,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,,,
3,11,20,,,,,,,,,,,,,,,,,
3,21,31,,,,,,,,,,,,,,,,,
4,1,8,0.3,0.3,0.3,0.3,,0.37,0.37,0.33105263157895,0.37,0.37,0.33916666666667,,0.3,0.3,,0.37,0.33916666666667
4,9,15,0.3,0.3,0.3,0.3,0.075,0.385,0.385,0.34752024291498,0.385,0.385,0.351796875,0.075,0.3,0.3,,,
4,16,23,0.3,0.3,0.3,0.3,0.15,0.4,0.415,0.38045546558704,0.415,0.415,0.37705729166667,0.15,0.3,0.3,,0.4,2.2
4,24,31,0.3,0.3,0.3,0.3,0.3,0.43,0.43,0.39692307692308,0.43,0.43,0.3896875,0.3,0.3,0.3,,0.43,0.3896875
5,1,8,0.38,0.37,0.35,0.35,0.35,0.46,0.46,0.414,0.47,0.47,0.42727272727273,0.35,0.38,0.37,,0.47,0.42727272727273
5,9,15,0.38,0.37,0.35,0.35,0.35,0.47,0.47,0.42563157894737,0.48,0.48,0.4331289640592,0.35,0.38,0.37,,0.5,0.44736842105263
5,16,23,0.38,0.37,0.35,0.35,0.35,0.49,0.49,0.44889473684211,0.5,0.5,0.44484143763214,0.35,0.38,0.37,,,
5,24,31,0.38,0.37,0.35,0.35,0.35,0.5,0.5,0.46052631578947,0.51,0.51,0.4506976744186,0.35,0.38,0.37,,0.51,0.4506976744186
6,1,8,0.45,0.43,0.38,0.38,0.45,0.5,0.5,0.46052631578947,0.51,0.51,0.4506976744186,0.45,0.45,0.43,,0.51,0.4506976744186
6,9,15,0.45,0.43,0.38,0.38,0.45,0.5,0.5,0.46052631578947,0.5175,0.5175,0.45866155368629,0.45,0.45,0.43,,0.52,0.46090909090909
6,16,23,0.45,0.43,0.38,0.38,0.45,0.5,0.5,0.46052631578947,0.5325,0.5325,0.47458931222167,0.45,0.45,0.43,,,
6,24,31,0.45,0.43,0.38,0.38,0.45,0.5,0.5,0.46052631578947,0.54,0.54,0.48255319148936,0.45,0.45,0.43,,0.54,0.48255319148936
7,1,8,0.52,0.48,0.4,0,0.5,0.5,0.5,0.46052631578947,0.55,0.55,0.50111111111111,0.5,0.52,0.48,,0.55,0.50111111111111
7,9,15,0.52,0.48,0.4,0,0.5,0.5,0.5,0.46052631578947,0.55,0.55,0.50111111111111,0.5,0.52,0.48,,0.55,0.50111111111111
7,16,23,0.52,0.48,0.4,0,0.5,0.5,0.5,0.46052631578947,0.55,0.55,0.50111111111111,0.5,0.52,0.48,,,
7,24,31,0.52,0.48,0.4,,0.5,0.5,0.5,0.46052631578947,0.55,0.55,0.50111111111111,0.5,0.52,0.48,,0.55,0.50111111111111
8,1,8,0.59,0.53,0.4,,0.55,0.54,0.5,0.47,0.55,0.55,0.50111111111111,0.55,0.59,0.53,,0.55,0.50111111111111
8,9,15,0.59,0.53,0.4,0,0.55,0.545,0.5025,0.47,0.5575,0.54207446808511,0.49306737588652,0.55,0.59,0.53,,0.51234042553191,0.48
8,16,23,0.59,0.53,0.4,0,0.55,0.555,0.5075,0.46966666666667,0.5725,0.52622340425532,0.47697990543735,0.55,0.59,0.53,,,
8,24,31,0.59,0.53,0.4,,0.55,0.56,0.51,0.46997619047619,0.58,0.51829787234043,0.46893617021277,0.55,0.59,0.53,,0.51829787234043,0.46893617021277
9,1,8,0.65,0.57,0.38,,0.45,0.57,0.52,0.46866666666667,0.59,0.52723404255319,0.47579657498703,0.45,0.65,0.57,,0,0
9,9,15,0.65,0.57,0.38,0,0.45,0.575,0.5225,0.47090476190476,0.595,0.53228450627387,0.48197563636847,0.45,0.65,0.57,,0,0
9,16,23,0.65,0.57,0.38,0,0.45,0.585,0.5275,0.47538095238095,0.605,0.54238543371522,0.49433375913137,0.45,0.65,0.57,,,
9,24,31,0.65,0.57,0.38,,0.45,0.59,0.53,0.47761904761905,0.61,0.5474358974359,0.50051282051282,0.45,0.65,0.57,,0,0
10,1,8,0.71,0.6,0.35,,0.4,0.6,0.55,0.48,0.63,0.57891891891892,0.52783783783784,0.4,0.71,0.6,,0,0
10,9,15,0.71,0.6,0.35,0,0.4,0.605,0.55,0.48308823529412,0.635,0.58043918918919,0.53129504504505,0.4,0.71,0.6,,0,0
10,16,23,0.71,0.6,0.35,0,0.4,0.615,0.55,0.48926470588235,0.645,0.58347972972973,0.53820945945946,0.4,0.71,0.6,,,
10,24,31,0.71,0.6,0.35,,0.4,0.62,0.55,0.49235294117647,0.65,0.585,0.54166666666667,0.4,0.71,0.6,,0,0
11,1,8,0.77,0.63,0.3,,0.35,0.63,0.55,0.511875,0.65,0.585,0.54166666666667,0.35,0.77,0.63,,0.585,0.54166666666667
11,9,15,0.77,0.63,0.3,0,0.35,0.635,0.55,0.51814538043478,0.65,0.585,0.54166666666667,0.35,0.77,0.63,,,
11,16,23,0.77,0.63,0.3,0,0.35,0.645,0.55,0.53068614130435,0.65,0.585,0.54166666666667,0.35,0.77,0.63,,0.585,0.54166666666667
11,24,31,0.77,0.63,0.3,,0.35,0.65,0.55,0.53695652173913,0.65,0.585,0.54166666666667,0.35,0.77,0.63,,0.585,0.54166666666667
12,1,8,0.77,0.63,0.3,,0.35,0.65,0.55,0.53695652173913,,,,0.35,0.77,0.63,,,
12,9,15,,,,,,,,,,,,,,,,,
12,16,23,,,,,,,,,,,,,,,,,
12,24,31,,,,,,,,,,,,,,,,,
