month,start_day,end_day,"כרוב 1/1","כרוב 1/6","כרוב 1/10","חסה 1/1","חסה 1/6","חסה 1/10"
1,1,8,0.4,,,0.5,,
1,9,15,0.4,,,0.6,,
1,16,23,0.5,,,0.65,,
1,24,31,0.5,,,0.7,,
2,1,8,0.5,,,0.8,,
2,9,15,0.5,,,0.9,,
2,16,23,0.6,,,1,,
2,24,31,0.6,,,1,,
3,1,8,0.6,,,1,,
3,9,15,0.6,,,,,
3,16,23,0.7,,,,,
3,24,31,0.7,,,,,
4,1,8,0.7,,,,,
4,9,15,0.7,,,,,
4,16,23,,,,,,
4,24,31,,,,,,
5,1,8,,,,,,
5,9,15,,,,,,
5,16,23,,,,,,
5,24,31,,,,,,
6,1,8,,0.3,,,0.4,
6,9,15,,0.5,,,0.6,
6,16,23,,0.6,,,0.8,
6,24,31,,0.625,,,0.9,
7,1,8,,0.65,,,1,
7,9,15,,0.7,,,,
7,16,23,,0.7,,,,
7,24,31,,,,,,
8,1,8,,,,,,
8,9,15,,,,,,
8,16,23,,,,,,
8,24,31,,,,,,
9,1,8,,,,,,
9,9,15,,,,,,
9,16,23,,,,,,
9,24,31,,,,,,
10,1,8,,,0.4,,,0.4
10,9,15,,,0.5,,,0.5
10,16,23,,,0.55,,,0.6
10,24,31,,,0.5,,,0.7
11,1,8,,,0.6,,,0.9
11,9,15,,,0.6,,,1
11,16,23,,,0.6,,,
11,24,31,,,0.6,,,
12,1,8,,,0.7,,,
12,9,15,,,0.7,,,
12,16,23,,,0.7,,,
12,24,31,,,0.7,,,
