month,start_day,end_day,"מילון רמת נגב 15.6","מילון רמת נגב 1.7","מילון רמת נגב 15.7","מילון רמת נגב 1.8","מילון רמת נגב 20.6"
6,1,8,,,,,
6,9,15,,,,,
6,16,23,0.5,,,,
6,24,31,0.4,,,,
7,1,8,0.4,0.5,,,
7,9,15,0.3,0.4,,,
7,16,23,0.3,0.4,0.5,,
7,24,31,0.4,0.3,0.4,,
8,1,8,0.4,0.3,0.4,0.5,
8,9,15,0.5,0.4,0.3,0.4,
8,16,23,0.5,0.4,0.3,0.4,
8,24,31,0.5,0.5,0.4,0.3,
9,1,8,0.5,0.5,0.4,0.3,
9,9,15,,0.5,0.5,0.4,
9,16,23,,0.5,0.5,0.4,
9,24,31,,,0.5,0.4,
10,1,8,,,0.5,0.5,
10,9,15,,,,0.5,
10,16,23,,,,0.5,
10,24,31,,,,0.5,
11,1,8,,,,,
11,9,15,,,,,
11,16,23,,,,,
11,24,31,,,,,
12,1,8,,,,,
12,9,15,,,,,
12,16,23,,,,,
12,24,31,,,,,
1,1,8,,,,,
1,9,15,,,,,
1,16,23,,,,,
1,24,31,,,,,
2,1,8,,,,,
2,9,15,,,,,
2,16,23,,,,,
2,24,31,,,,,
3,1,8,,,,,
3,9,15,,,,,
3,16,23,,,,,
3,24,31,,,,,
4,1,8,,,,,
4,9,15,,,,,
4,16,23,,,,,
4,24,31,,,,,
5,1,8,,,,,
5,9,15,,,,,
5,16,23,,,,,
5,24,31,,,,,
6,1,8,,,,,
6,9,15,,,,,
6,16,23,,,,,
6,24,31,,,,,
7,1,8,,,,,
7,9,15,,,,,
7,16,23,,,,,
7,24,31,,,,,
