month,start_day,end_day,"רימון וונדרפול","רימון בכיר"
1,1,10,,
1,11,20,,
1,21,31,,
2,1,10,,
2,11,20,,
2,21,31,,
3,1,10,,
3,11,20,,
3,21,31,,
4,1,10,,
4,11,20,,
4,21,31,,
5,1,10,,
5,11,20,0.3,0.3
5,21,31,0.3,0.3
6,1,10,0.35,0.35
6,11,20,0.4,0.4
6,21,31,0.45,0.45
7,1,10,0.45,0.5
7,11,20,0.5,0.55
7,21,31,0.5,0.55
8,1,10,0.55,0.55
8,11,20,0.55,0.6
8,21,31,0.6,0.6
9,1,10,0.65,0.6
9,11,20,0.7,0.2
9,21,31,0.7,0.2
10,1,10,0.7,0.2
10,11,20,0.7,
10,21,31,0.7,
11,1,10,,
11,11,20,,
11,21,31,,
12,1,10,,
12,11,20,,
12,21,31,,
