month,start_day,end_day,"שזיף 1/6","שזיף 10/6","שזיף 20/6","שזיף 1/7","שזיף 10/7","שזיף 20/7","שזיף 1/8","שזיף 10/8","שזיף 20/8","שזיף 1/9","שזיף 10/9","שזיף 20/9"
1,1,10,,,,,,,,,,,,
1,11,20,,,,,,,,,,,,
1,21,31,,,,,,,,,,,,
2,1,10,,,,,,,,,,,,
2,11,20,,,,,,,,,,,,
2,21,31,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,
3,11,20,,,,,,,,,,,,
3,21,31,,,,,,,,,,,,
4,1,10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,11,20,0.35,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,21,31,0.5,0.35,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
5,1,10,0.8,0.45,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,11,20,0.8,0.8,0.6,0.6,0.35,0.35,0.3,0.3,0.3,0.3,0.3,0.3
5,21,31,0.8,0.8,0.8,0.65,0.5,0.4,0.35,0.35,0.35,0.35,0.35,0.35
6,1,10,0.8,0.8,0.8,0.8,0.65,0.5,0.5,0.4,0.4,0.4,0.4,0.4
6,11,20,0.3,0.8,0.8,0.8,0.8,0.7,0.55,0.5,0.4,0.4,0.4,0.4
6,21,31,0.3,0.3,0.8,0.8,0.8,0.8,0.7,0.55,0.5,0.4,0.4,0.4
7,1,10,0.3,0.3,0.3,0.8,0.8,0.8,0.85,0.7,0.55,0.55,0.4,0.4
7,11,20,0.3,0.3,0.3,0.3,0.8,0.8,0.85,0.85,0.75,0.65,0.55,0.45
7,21,31,0.3,0.3,0.3,0.3,0.3,0.8,0.85,0.85,0.85,0.75,0.65,0.5
8,1,10,0.3,0.3,0.3,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.75,0.65
8,11,20,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.8
8,21,31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.85,0.85,0.85,0.85
9,1,10,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.85,0.85,0.85
9,11,20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.85,0.85
9,21,31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.85
10,1,10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
10,11,20,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
10,21,31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
11,1,10,,,,,,,,,,,,
11,11,20,,,,,,,,,,,,
11,21,31,,,,,,,,,,,,
12,1,10,,,,,,,,,,,,
12,11,20,,,,,,,,,,,,
12,21,31,,,,,,,,,,,,
