month,start_day,end_day,שום
6,1,8,
6,9,15,
6,16,23,
6,24,31,
7,1,8,
7,9,15,
7,16,23,
7,24,31,
8,1,8,
8,9,15,
8,16,23,
8,24,31,
9,1,8,
9,9,15,
9,16,23,
9,24,31,
10,1,8,1
10,9,15,1
10,16,23,1
10,24,31,1
11,1,8,0.6
11,9,15,0.6
11,16,23,0.6
11,24,31,0.6
12,1,8,0.8
12,9,15,0.8
12,16,23,0.8
12,24,31,0.8
1,1,8,1
1,9,15,1
1,16,23,1
1,24,31,1
2,1,8,1
2,9,15,1
2,16,23,1
2,24,31,1
3,1,8,0.8
3,9,15,0.8
3,16,23,0.8
3,24,31,0.8
4,1,8,
4,9,15,
4,16,23,
4,24,31,
5,1,8,
5,9,15,
5,16,23,
5,24,31,
6,1,8,
6,9,15,
6,16,23,
6,24,31,
7,1,8,
7,9,15,
7,16,23,
7,24,31,
