month,start_day,end_day,"תפוח 10/6","תפוח 20/7","תפוח 1/8","תפוח 10/8","תפוח 20/8","תפוח 1/9","תפוח 10/9","תפוח 20/9"
1,1,10,,,,,,,,
1,11,20,,,,,,,,
1,21,31,,,,,,,,
2,1,10,,,,,,,,
2,11,20,,,,,,,,
2,21,31,,,,,,,,
3,1,10,,,,,,,,
3,11,20,,,,,,,,
3,21,31,,,,,,,,
4,1,10,,,,,,,,
4,11,20,,,,,,,,
4,21,31,,,,,,,,
5,1,10,0.55,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,11,20,0.85,0.4,0.4,0.4,0.4,0.4,0.4,0.4
5,21,31,0.85,0.45,0.45,0.45,0.45,0.45,0.45,0.45
6,1,10,1,0.65,0.65,0.65,0.65,0.65,0.65,0.65
6,11,20,0.9,0.75,0.75,0.75,0.75,0.75,0.7,0.7
6,21,31,0.4,0.75,0.75,0.75,0.75,0.75,0.75,0.75
7,1,10,0.4,0.75,0.75,0.75,0.75,0.75,0.75,0.75
7,11,20,0.4,0.85,0.85,0.85,0.85,0.85,0.85,0.85
7,21,31,0.4,0.85,0.85,0.85,0.85,0.85,0.85,0.85
8,1,10,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9
8,11,20,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9
8,21,31,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9
9,1,10,0.4,0.4,0.4,0.4,0.45,0.9,0.9,0.9
9,11,20,0.25,0.25,0.25,0.25,0.3,0.25,0.8,0.8
9,21,31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.85
10,1,10,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
10,11,20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
10,21,31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
11,1,10,,,,,,,,
11,11,20,,,,,,,,
11,21,31,,,,,,,,
12,1,10,,,,,,,,
12,11,20,,,,,,,,
12,21,31,,,,,,,,
