month,start_day,end_day,"תריס מספוא סוף מרץ ","תירס מספוא 10 אפריל","תירס מספוא 20 אפריל","תירס מספוא 1 מאי","תירס מספוא 10 למאי","תירס מספוא 20 מאי","תירס מספוא 1 יוני","תירס מספוא 10 יוני"
1,1,10,,,,,,,,
1,11,20,,,,,,,,
1,21,31,,,,,,,,
2,1,8,,,,,,,,
2,9,15,,,,,,,,
2,16,23,,,,,,,,
2,24,31,,,,,,,,
3,1,8,,,,,,,,
3,9,15,,,,,,,,
3,16,23,,,,,,,,
3,24,31,,,,,,,,
4,1,8,,,,,,,,
4,9,15,,,,,,,,
4,16,23,,,,,,,,
4,24,31,,,,,,,,
5,1,8,0.5,,,,,,,
5,9,15,0.6,0.6,,,,,,
5,16,23,0.8,0.7,0.6,,,,,
5,24,31,0.9,0.8,0.7,0.5,,,,
6,1,8,0.9,0.9,0.85,0.6,0.5,,,
6,9,15,0.85,0.9,0.9,0.7,0.6,,,
6,16,23,0.8,0.8,0.9,0.8,0.7,0.5,,
6,24,31,0.8,0.8,0.8,0.9,0.85,0.6,0.5,
7,1,8,0.6,0.7,0.7,0.9,0.9,0.7,0.6,0.5
7,9,15,0.4,0.5,0.6,0.8,0.9,0.8,0.75,0.6
7,16,23,,,0.5,0.8,0.8,0.9,0.85,0.75
7,24,31,,,,0.7,0.7,0.9,0.9,0.85
8,1,8,,,,,0.6,0.8,0.9,0.9
8,9,15,,,,,,0.8,0.8,0.9
8,16,23,,,,,,,0.6,0.8
8,24,31,,,,,,,,0.6
9,1,8,,,,,,,,
9,9,15,,,,,,,,
9,16,23,,,,,,,,
9,24,31,,,,,,,,
10,1,8,,,,,,,,
10,9,15,,,,,,,,
10,16,23,,,,,,,,
10,24,31,,,,,,,,
11,1,8,,,,,,,,
11,9,15,,,,,,,,
11,16,23,,,,,,,,
11,24,31,,,,,,,,
12,1,8,,,,,,,,
12,9,15,,,,,,,,
12,16,23,,,,,,,,
12,24,31,,,,,,,,
