month,start_day,end_day,"תירס מתוק גליל מערבי מועד א (1 אפריל)","תירס מתוק גליל מערבי מועד ב (15 מאי)","תירס מתוק מועד א (20 מרץ)","תירס מתוק מועד א 30 מרץ","תירס מתוק מועד א 10 אפריל","תירס מתוק מועד ב 20 אפריל","תירס מתוק מועד ב 30 אפריל","תירס מתוק מועד ב 10 מאי","תירס מתוק מועד ג  20 למאי","תירס מתוק מועד ד 1 ליוני","תירס מתוק מועד ד 10 ליוני","תירס מתוק מועד ד 20 ליוני","תירס מתוק מועד ה 1 ליולי","תירס מתוק מועד ה 10 ליולי"
1,1,10,,,,,,,,,,,,,,
1,11,20,,,,,,,,,,,,,,
1,21,31,,,,,,,,,,,,,,
2,1,8,,,,,,,,,,,,,,
2,9,15,,,,,,,,,,,,,,
2,16,23,,,,,,,,,,,,,,
2,24,31,,,,,,,,,,,,,,
3,1,8,,,,,,,,,,,,,,
3,9,15,,,,,,,,,,,,,,
3,16,23,,,,,,,,,,,,,,
3,24,31,,,,,,,,,,,,,,
4,1,8,,,,,,,,,,,,,,
4,9,15,,,,,,,,,,,,,,
4,16,23,,,,,,,,,,,,,,
4,24,31,,,0.5,,,,,,,,,,,
5,1,8,,,0.7,0.5,,,,,,,,,,
5,9,15,0.4,,0.8,0.7,0.6,,,,,,,,,
5,16,23,0.5,,0.9,0.8,0.7,0.6,,,,,,,,
5,24,31,0.7,,1,0.9,0.85,0.7,0.6,,,,,,,
6,1,8,0.75,,0.9,1,1,0.85,0.7,0.6,,,,,,
6,9,15,0.7,0.5,0.8,0.9,0.9,1,0.8,0.7,0.6,,,,,
6,16,23,0.6,0.7,0.6,0.8,0.8,0.9,0.9,0.8,0.7,,,,,
6,24,31,0.5,0.75,,0.6,0.8,0.8,1,0.9,0.8,0.6,,,,
7,1,8,,0.7,,,0.6,0.8,0.9,1,0.9,0.7,0.6,,,
7,9,15,,0.6,,,,0.6,0.6,0.9,1,0.8,0.7,0.6,,
7,16,23,,0.5,,,,,,0.7,0.9,0.9,0.8,0.7,0.6,
7,24,31,,,,,,,,0.6,0.7,1,0.9,0.8,0.7,0.6
8,1,8,,,,,,,,,0.6,0.9,1,0.9,0.8,0.7
8,9,15,,,,,,,,,,0.6,0.9,1,0.9,0.8
8,16,23,,,,,,,,,,,0.6,0.9,1,0.9
8,24,31,,,,,,,,,,,,0.7,0.9,1
9,1,8,,,,,,,,,,,,0.6,0.7,0.9
9,9,15,,,,,,,,,,,,,0.6,0.7
9,16,23,,,,,,,,,,,,,,0.6
9,24,31,,,,,,,,,,,,,,
10,1,8,,,,,,,,,,,,,,
10,9,15,,,,,,,,,,,,,,
10,16,23,,,,,,,,,,,,,,
10,24,31,,,,,,,,,,,,,,
11,1,8,,,,,,,,,,,,,,
11,9,15,,,,,,,,,,,,,,
11,16,23,,,,,,,,,,,,,,
11,24,31,,,,,,,,,,,,,,
12,1,8,,,,,,,,,,,,,,
12,9,15,,,,,,,,,,,,,,
12,16,23,,,,,,,,,,,,,,
12,24,31,,,,,,,,,,,,,,
